Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.24,0.09,0.12,0.26,0.13,0.15,2016
Alabama,0.24,0.09,0.11,0.26,0.13,0.16,2016
Alaska,0.27,0.1,0.14,0.25,0.13,0.1,2016
Arizona,0.25,0.09,0.12,0.25,0.12,0.17,2016
Arkansas,0.25,0.09,0.11,0.25,0.13,0.16,2016
California,0.24,0.1,0.13,0.27,0.12,0.14,2016
Colorado,0.24,0.09,0.13,0.27,0.13,0.14,2016
Connecticut,0.23,0.09,0.11,0.27,0.14,0.16,2016
Delaware,0.23,0.08,0.12,0.25,0.14,0.18,2016
District of Columbia,0.19,0.1,0.21,0.27,0.11,0.12,2016
Florida,0.21,0.08,0.11,0.26,0.13,0.2,2016
Georgia,0.26,0.09,0.12,0.27,0.12,0.13,2016
Hawaii,0.23,0.08,0.12,0.25,0.13,0.18,2016
Idaho,0.27,0.09,0.12,0.24,0.12,0.15,2016
Illinois,0.24,0.09,0.12,0.27,0.13,0.14,2016
Indiana,0.25,0.09,0.11,0.26,0.13,0.15,2016
Iowa,0.24,0.09,0.12,0.25,0.14,0.16,2016
Kansas,0.26,0.1,0.12,0.25,0.13,0.15,2016
Kentucky,0.24,0.09,0.11,0.26,0.14,0.15,2016
Louisiana,0.25,0.09,0.13,0.25,0.13,0.14,2016
Maine,0.2,0.07,0.11,0.26,0.16,0.19,2016
Maryland,0.24,0.08,0.12,0.27,0.13,0.15,2016
Massachusetts,0.22,0.09,0.13,0.27,0.14,0.16,2016
Michigan,0.23,0.09,0.11,0.26,0.14,0.16,2016
Minnesota,0.25,0.08,0.12,0.26,0.14,0.15,2016
Mississippi,0.26,0.09,0.11,0.25,0.13,0.15,2016
Missouri,0.24,0.09,0.12,0.26,0.14,0.16,2016
Montana,0.23,0.09,0.11,0.24,0.15,0.18,2016
Nebraska,0.26,0.09,0.12,0.25,0.13,0.15,2016
Nevada,0.24,0.09,0.13,0.27,0.13,0.15,2016
New Hampshire,0.21,0.08,0.11,0.27,0.16,0.17,2016
New Jersey,0.24,0.08,0.11,0.28,0.14,0.15,2016
New Mexico,0.25,0.09,0.12,0.24,0.13,0.17,2016
New York,0.22,0.09,0.13,0.27,0.13,0.15,2016
North Carolina,0.24,0.09,0.11,0.27,0.13,0.16,2016
North Dakota,0.24,0.11,0.14,0.24,0.13,0.14,2016
Ohio,0.24,0.09,0.12,0.26,0.14,0.16,2016
Oklahoma,0.26,0.09,0.12,0.25,0.13,0.15,2016
Oregon,0.22,0.09,0.13,0.26,0.14,0.17,2016
Pennsylvania,0.22,0.08,0.12,0.26,0.14,0.17,2016
Rhode Island,0.21,0.1,0.12,0.26,0.14,0.16,2016
South Carolina,0.24,0.09,0.12,0.26,0.14,0.17,2016
South Dakota,0.26,0.09,0.12,0.23,0.14,0.16,2016
Tennessee,0.24,0.09,0.12,0.26,0.13,0.16,2016
Texas,0.28,0.1,0.13,0.26,0.11,0.12,2016
Utah,0.32,0.11,0.13,0.24,0.1,0.11,2016
Vermont,0.2,0.08,0.11,0.26,0.16,0.19,2016
Virginia,0.24,0.09,0.12,0.27,0.13,0.15,2016
Washington,0.24,0.09,0.13,0.26,0.13,0.15,2016
West Virginia,0.22,0.09,0.1,0.26,0.15,0.19,2016
Wisconsin,0.23,0.09,0.12,0.26,0.14,0.16,2016
Wyoming,0.26,0.09,0.12,0.24,0.14,0.15,2016
Puerto Rico,0.22,0.1,0.11,0.26,0.13,0.19,2016
