Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.26,0.09,0.12,0.29,0.11,0.13,2008
Alabama,0.26,0.1,0.11,0.28,0.12,0.14,2008
Alaska,0.28,0.11,0.12,0.29,0.12,0.07,2008
Arizona,0.28,0.09,0.13,0.27,0.11,0.13,2008
Arkansas,0.26,0.09,0.11,0.28,0.12,0.14,2008
California,0.27,0.1,0.13,0.29,0.1,0.11,2008
Colorado,0.26,0.09,0.13,0.3,0.11,0.1,2008
Connecticut,0.25,0.08,0.1,0.31,0.12,0.13,2008
Delaware,0.26,0.09,0.11,0.29,0.12,0.14,2008
District of Columbia,0.21,0.11,0.16,0.28,0.12,0.12,2008
Florida,0.23,0.09,0.11,0.28,0.12,0.17,2008
Georgia,0.28,0.09,0.12,0.3,0.11,0.1,2008
Hawaii,0.24,0.1,0.11,0.28,0.12,0.15,2008
Idaho,0.29,0.1,0.12,0.27,0.11,0.11,2008
Illinois,0.26,0.09,0.12,0.29,0.11,0.12,2008
Indiana,0.26,0.09,0.12,0.29,0.11,0.12,2008
Iowa,0.25,0.1,0.11,0.28,0.12,0.14,2008
Kansas,0.26,0.1,0.12,0.28,0.11,0.13,2008
Kentucky,0.25,0.08,0.12,0.3,0.12,0.13,2008
Louisiana,0.27,0.1,0.11,0.28,0.12,0.12,2008
Maine,0.22,0.07,0.1,0.32,0.14,0.15,2008
Maryland,0.25,0.09,0.11,0.31,0.12,0.12,2008
Massachusetts,0.24,0.09,0.12,0.31,0.12,0.13,2008
Michigan,0.26,0.09,0.11,0.3,0.12,0.13,2008
Minnesota,0.26,0.09,0.12,0.3,0.11,0.12,2008
Mississippi,0.28,0.09,0.11,0.28,0.11,0.12,2008
Missouri,0.25,0.09,0.12,0.29,0.12,0.13,2008
Montana,0.26,0.1,0.11,0.28,0.13,0.14,2008
Nebraska,0.27,0.09,0.12,0.28,0.11,0.13,2008
Nevada,0.27,0.08,0.13,0.29,0.11,0.11,2008
New Hampshire,0.24,0.08,0.11,0.32,0.13,0.12,2008
New Jersey,0.25,0.09,0.11,0.31,0.11,0.13,2008
New Mexico,0.27,0.1,0.12,0.27,0.11,0.13,2008
New York,0.24,0.1,0.12,0.3,0.12,0.13,2008
North Carolina,0.26,0.09,0.12,0.3,0.12,0.12,2008
North Dakota,0.24,0.12,0.11,0.26,0.13,0.14,2008
Ohio,0.25,0.09,0.11,0.29,0.12,0.13,2008
Oklahoma,0.27,0.1,0.12,0.27,0.12,0.13,2008
Oregon,0.24,0.09,0.12,0.28,0.13,0.13,2008
Pennsylvania,0.24,0.09,0.11,0.3,0.12,0.15,2008
Rhode Island,0.23,0.1,0.11,0.31,0.12,0.14,2008
South Carolina,0.26,0.09,0.11,0.29,0.13,0.13,2008
South Dakota,0.27,0.09,0.11,0.28,0.12,0.14,2008
Tennessee,0.25,0.09,0.12,0.29,0.12,0.13,2008
Texas,0.3,0.1,0.13,0.28,0.1,0.1,2008
Utah,0.33,0.12,0.14,0.24,0.08,0.09,2008
Vermont,0.22,0.08,0.1,0.32,0.14,0.14,2008
Virginia,0.25,0.09,0.11,0.3,0.12,0.12,2008
Washington,0.25,0.09,0.12,0.3,0.12,0.12,2008
West Virginia,0.22,0.08,0.11,0.29,0.14,0.15,2008
Wisconsin,0.25,0.09,0.11,0.3,0.12,0.13,2008
Wyoming,0.26,0.09,0.12,0.28,0.12,0.12,2008
Puerto Rico,0.26,0.1,0.12,0.26,0.11,0.14,2008
