Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76898100,27852300,35525300,84922400,36460600,39147500,300806200,2010
Alabama,1182300,436900,523500,1282300,587100,639400,4651400,2010
Alaska,196800,64000,85700,2.00E+05,85500,52700,684600,2010
Arizona,1691700,582700,745100,1634700,727300,875500,6256900,2010
Arkansas,736800,258500,315400,766200,351300,405700,2834000,2010
California,9676100,3693400,4633500,10298400,4035800,4178400,36515700,2010
Colorado,1272700,459100,628900,1419200,600200,536100,4916200,2010
Connecticut,845000,283000,361400,1048200,441700,484500,3463700,2010
Delaware,213400,80300,97400,244800,111100,124700,871700,2010
District of Columbia,104900,75500,106200,154100,62400,67100,570200,2010
Florida,4177300,1639200,1947000,5089300,2334200,3211900,18398800,2010
Georgia,2581900,880400,1133400,2742600,1073300,1003000,9414700,2010
Hawaii,312500,114800,142500,362300,175500,194100,1301600,2010
Idaho,444300,145200,182700,394800,179100,192800,1538900,2010
Illinois,3249300,1144800,1561900,3559600,1469700,1551000,12536400,2010
Indiana,1651900,570800,725800,1766800,768200,805800,6289300,2010
Iowa,743700,267000,335900,801000,372300,428400,2948200,2010
Kansas,749600,257000,317700,745200,330200,361200,2761000,2010
Kentucky,1047900,378400,490000,1195000,538600,557200,4207100,2010
Louisiana,1161000,445500,533300,1189000,534300,537300,4400400,2010
Maine,280700,99000,129000,386000,192000,203900,1290600,2010
Maryland,1395200,511900,663600,1668100,694300,689000,5622200,2010
Massachusetts,1469400,561800,743300,1887300,802600,864000,6328400,2010
Michigan,2425400,872400,1021200,2764700,1251400,1322500,9657600,2010
Minnesota,1324500,447000,637300,1489000,634800,655000,5187500,2010
Mississippi,786500,265600,322000,776800,345600,370600,2867200,2010
Missouri,1460700,533600,663900,1618400,718200,807200,5802000,2010
Montana,233800,80000,106400,260000,138500,144100,962800,2010
Nebraska,468600,162200,216300,475300,214200,234500,1771000,2010
Nevada,693400,241000,336900,747600,315500,323200,2657600,2010
New Hampshire,295400,99700,126400,402300,179800,172400,1276000,2010
New Jersey,2140700,706500,977300,2597600,1046800,1151500,8620400,2010
New Mexico,538100,194100,222900,534900,257800,270300,2018000,2010
New York,4474700,1794500,2323300,5440300,2302700,2524500,18860000,2010
North Carolina,2363900,818000,1072500,2652600,1133500,1200600,9241100,2010
North Dakota,155800,69800,77900,171400,81500,90900,647200,2010
Ohio,2808100,967400,1244400,3184200,1450700,1560900,11215700,2010
Oklahoma,973000,335400,430900,970500,435000,490700,3635500,2010
Oregon,899300,337500,461600,1029600,512100,523900,3764000,2010
Pennsylvania,2887900,1080100,1316200,3498500,1622900,1888100,12293700,2010
Rhode Island,231100,98900,107200,296000,132300,143700,1009200,2010
South Carolina,1122600,418300,491500,1243400,584800,616000,4476500,2010
South Dakota,210300,71100,88500,209800,95600,111600,787000,2010
Tennessee,1550000,543900,716400,1757800,783200,834900,6186200,2010
Texas,7152100,2424400,3101500,6775200,2593400,2537800,24584400,2010
Utah,905700,300900,395500,636400,239500,246200,2724100,2010
Vermont,131800,47700,62800,178900,90200,88100,599500,2010
Virginia,1920300,689600,9.14E+05,2268000,957500,954400,7703800,2010
Washington,1641800,599200,809300,1873700,838600,813300,6575900,2010
West Virginia,400600,151900,190500,501400,264000,290600,1799000,2010
Wisconsin,1375900,501200,621300,1584300,702200,748600,5533400,2010
Wyoming,141900,51400,66400,148900,71900,67900,548400,2010
Puerto Rico,946100,363800,426900,967500,441000,538800,3684000,2010
