Antibiotic_Class,Year,Location,Age_Group,Sex,Rate
All classes,2011,National,0-19,Combined Gender,908.0769176
B-lactams increased activity,2011,National,0-19,Combined Gender,93.51996792
Cephalosporins,2011,National,0-19,Combined Gender,162.0059129
Fluoroquinolones,2011,National,0-19,Combined Gender,8.879415807
Lincosamides,2011,National,0-19,Combined Gender,12.72764521
Macrolides,2011,National,0-19,Combined Gender,192.3031206
Other,2011,National,0-19,Combined Gender,Insufficient Data
Penicillins,2011,National,0-19,Combined Gender,318.4558754
Tetracycline,2011,National,0-19,Combined Gender,51.28160963
Trimethoprim-sulfamethoxazole,2011,National,0-19,Combined Gender,58.33420219
Urinary anti-infectives,2011,National,0-19,Combined Gender,10.10079783
All classes,2011,National,0-19,Female,962.1997839
B-lactams increased activity,2011,National,0-19,Female,Insufficient Data
Cephalosporins,2011,National,0-19,Female,Insufficient Data
Fluoroquinolones,2011,National,0-19,Female,Insufficient Data
Lincosamides,2011,National,0-19,Female,Insufficient Data
Macrolides,2011,National,0-19,Female,Insufficient Data
Other,2011,National,0-19,Female,Insufficient Data
Penicillins,2011,National,0-19,Female,Insufficient Data
Tetracycline,2011,National,0-19,Female,Insufficient Data
Trimethoprim-sulfamethoxazole,2011,National,0-19,Female,Insufficient Data
Urinary anti-infectives,2011,National,0-19,Female,Insufficient Data
All classes,2011,National,0-19,Male,855.2810603
B-lactams increased activity,2011,National,0-19,Male,Insufficient Data
Cephalosporins,2011,National,0-19,Male,Insufficient Data
Fluoroquinolones,2011,National,0-19,Male,Insufficient Data
Lincosamides,2011,National,0-19,Male,Insufficient Data
Macrolides,2011,National,0-19,Male,Insufficient Data
Other,2011,National,0-19,Male,Insufficient Data
Penicillins,2011,National,0-19,Male,Insufficient Data
Tetracycline,2011,National,0-19,Male,Insufficient Data
Trimethoprim-sulfamethoxazole,2011,National,0-19,Male,Insufficient Data
Urinary anti-infectives,2011,National,0-19,Male,Insufficient Data
All classes,2011,National,20+,Combined Gender,838.2325727
B-lactams increased activity,2011,National,20+,Combined Gender,60.31097187
Cephalosporins,2011,National,20+,Combined Gender,97.68895675
Fluoroquinolones,2011,National,20+,Combined Gender,131.5413859
Lincosamides,2011,National,20+,Combined Gender,30.40220808
Macrolides,2011,National,20+,Combined Gender,182.9677561
Other,2011,National,20+,Combined Gender,2.174856577
Penicillins,2011,National,20+,Combined Gender,145.6369167
Tetracycline,2011,National,20+,Combined Gender,71.57159936
Trimethoprim-sulfamethoxazole,2011,National,20+,Combined Gender,67.7777173
