Phenotype,UnitedStates,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
Acinetobacter spp. MDR,National,All HAIs,2011,<1,32,5,15.6,5.9,31.2
Acinetobacter spp. MDR,National,All HAIs,2011, 1-18,22,4,18.2,6,38.2
Acinetobacter spp. MDR,National,All HAIs,2011,19-64,442,267,60.4,55.7,64.8
Acinetobacter spp. MDR,National,All HAIs,2011,65+,281,200,71.2,65.6,76.2
Acinetobacter spp. MDR,National,All HAIs,2011,All Ages,777,476,61.3,57.7,64.6
Acinetobacter spp. MDR,National,All HAIs,2012,<1,32,4,12.5,4.1,27.4
Acinetobacter spp. MDR,National,All HAIs,2012, 1-18,41,6,14.6,6.1,27.9
Acinetobacter spp. MDR,National,All HAIs,2012,19-64,546,260,47.6,43.4,51.8
Acinetobacter spp. MDR,National,All HAIs,2012,65+,364,255,70.1,65.1,74.5
Acinetobacter spp. MDR,National,All HAIs,2012,All Ages,983,525,53.4,50.2,56.5
Acinetobacter spp. MDR,National,All HAIs,2013,<1,23,6,26.1,11.3,46.5
Acinetobacter spp. MDR,National,All HAIs,2013, 1-18,25,4,16,5.2,34.2
Acinetobacter spp. MDR,National,All HAIs,2013,19-64,581,284,48.9,44.8,52.9
Acinetobacter spp. MDR,National,All HAIs,2013,65+,384,276,71.9,67.2,76.2
Acinetobacter spp. MDR,National,All HAIs,2013,All Ages,1013,570,56.3,53.1,59.3
Acinetobacter spp. MDR,National,All HAIs,2014,<1,30,4,13.3,4.3,29.1
Acinetobacter spp. MDR,National,All HAIs,2014, 1-18,20,2,10,1.7,29.2
Acinetobacter spp. MDR,National,All HAIs,2014,19-64,563,252,44.8,40.6,48.8
Acinetobacter spp. MDR,National,All HAIs,2014,65+,282,182,64.5,58.8,69.9
Acinetobacter spp. MDR,National,All HAIs,2014,All Ages,895,440,49.2,45.8,52.4
Acinetobacter spp. MDR,National,All HAIs,All Years,<1,117,19,16.2,10.3,23.7
Acinetobacter spp. MDR,National,All HAIs,All Years, 1-18,108,16,14.8,9,22.4
Acinetobacter spp. MDR,National,All HAIs,All Years,19-64,2132,1063,49.9,47.7,51.9
Acinetobacter spp. MDR,National,All HAIs,All Years,65+,1311,913,69.6,67.1,72
Acinetobacter spp. MDR,National,All HAIs,All Years,All Ages,3668,2011,54.8,53.2,56.4
Acinetobacter spp. MDR,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CAUTI,2011,19-64,84,60,71.4,61,80.3
Acinetobacter spp. MDR,National,CAUTI,2011,65+,68,56,82.4,71.9,90
Acinetobacter spp. MDR,National,CAUTI,2011,All Ages,156,118,75.6,68.4,81.8
Acinetobacter spp. MDR,National,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CAUTI,2012,19-64,152,88,57.9,49.9,65.5
Acinetobacter spp. MDR,National,CAUTI,2012,65+,122,92,75.4,67.1,82.4
