Phenotype,Region,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
Acinetobacter spp. MDR,East_North_Central,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,All HAIs,2011,19-64,40,27,67.5,51.9,80.5
Acinetobacter spp. MDR,East_North_Central,All HAIs,2011,65+,37,27,73,57,85.3
Acinetobacter spp. MDR,East_North_Central,All HAIs,2011,All Ages,79,54,68.4,57.5,77.8
Acinetobacter spp. MDR,East_North_Central,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,2012,19-64,68,42,61.8,49.8,72.7
Acinetobacter spp. MDR,East_North_Central,All HAIs,2012,65+,44,33,75,60.7,86
Acinetobacter spp. MDR,East_North_Central,All HAIs,2012,All Ages,122,79,64.8,55.9,72.8
Acinetobacter spp. MDR,East_North_Central,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,2013,19-64,66,38,57.6,45.4,69
Acinetobacter spp. MDR,East_North_Central,All HAIs,2013,65+,53,41,77.4,64.6,87.1
Acinetobacter spp. MDR,East_North_Central,All HAIs,2013,All Ages,123,80,65,56.3,73
Acinetobacter spp. MDR,East_North_Central,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,2014,19-64,59,33,55.9,43.1,68.1
Acinetobacter spp. MDR,East_North_Central,All HAIs,2014,65+,42,32,76.2,61.6,87.2
Acinetobacter spp. MDR,East_North_Central,All HAIs,2014,All Ages,108,65,60.2,50.7,69
Acinetobacter spp. MDR,East_North_Central,All HAIs,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,All HAIs,All Years,19-64,233,140,60.1,53.6,66.2
Acinetobacter spp. MDR,East_North_Central,All HAIs,All Years,65+,176,133,75.6,68.8,81.4
Acinetobacter spp. MDR,East_North_Central,All HAIs,All Years,All Ages,432,278,64.4,59.7,68.7
Acinetobacter spp. MDR,East_North_Central,CAUTI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,CAUTI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,CAUTI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2012,19-64,22,13,59.1,38,77.8
Acinetobacter spp. MDR,East_North_Central,CAUTI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
