StateTerr,HAI,Year,State_NHSN_Mandate,FAC_TYPE,Num_Facilities_Reporting,Observed_Infections,Predicted_Infections,Standardized_Infection_Ratio,Facilities_Atleast_1_Predicted_HAI,PCT_Hospitals_SIR_Greater_Than_National_SIR
Alabama,CLABSI,2018,,General,82,366,469.52,0.78,37,13.51
Alaska,CLABSI,2018,,General,10,23,33.12,0.694,4,
Arizona,CLABSI,2018,,General,65,335,515.37,0.65,44,2.27
Arkansas,CLABSI,2018,,General,50,162,255.38,0.634,23,13.04
California,CLABSI,2018,,General,341,2091,2636.74,0.793,269,13.38
Colorado,CLABSI,2018,,General,54,207,347.05,0.596,31,0
Connecticut,CLABSI,2018,,General,31,208,245.78,0.846,22,13.64
District of Columbia,CLABSI,2018,,General,8,117,162.67,0.719,8,
Delaware,CLABSI,2018,,General,8,62,95.53,0.649,8,
Florida,CLABSI,2018,,General,208,1437,1919.54,0.749,180,9.44
Georgia,CLABSI,2018,,General,105,640,828.98,0.772,63,6.35
Guam,CLABSI,2018,,General,2,,,,,
Hawaii,CLABSI,2018,,General,16,40,118.83,0.337,14,0
Idaho,CLABSI,2018,,General,15,34,70.43,0.483,9,
Illinois,CLABSI,2018,,General,135,621,966.36,0.643,99,4.04
Indiana,CLABSI,2018,,General,87,380,559.67,0.679,59,1.69
Iowa,CLABSI,2018,,General,38,170,202.84,0.838,21,4.76
Kansas,CLABSI,2018,,General,52,150,203.19,0.738,24,4.17
Kentucky,CLABSI,2018,,General,70,285,440.9,0.646,41,7.32
Louisiana,CLABSI,2018,,General,94,315,430.42,0.732,45,8.89
Maine,CLABSI,2018,,General,17,51,69.98,0.729,8,
Maryland,CLABSI,2018,,General,49,367,461.24,0.796,42,14.29
Massachusetts,CLABSI,2018,,General,68,518,598.27,0.866,46,13.04
Michigan,CLABSI,2018,,General,96,480,708.01,0.678,60,6.67
Minnesota,CLABSI,2018,,General,53,289,377.2,0.766,22,9.09
Mississippi,CLABSI,2018,,General,52,212,245.5,0.864,26,15.38
Missouri,CLABSI,2018,,General,78,562,680.81,0.825,47,12.77
Montana,CLABSI,2018,,General,13,23,33.83,0.68,9,
Nebraska,CLABSI,2018,,General,26,100,162.25,0.616,17,5.88
Nevada,CLABSI,2018,,General,27,255,276.34,0.923,20,25
New Hampshire,CLABSI,2018,,General,13,44,75.18,0.585,12,0
New Jersey,CLABSI,2018,,General,71,444,613.65,0.724,61,8.2
New Mexico,CLABSI,2018,,General,28,41,102.89,0.398,13,0
New York,CLABSI,2018,,General,171,1386,1719.36,0.806,133,11.28
North Carolina,CLABSI,2018,,General,96,699,777.63,0.899,57,14.04
North Dakota,CLABSI,2018,,General,8,46,70.75,0.65,7,
Ohio,CLABSI,2018,,General,140,819,1150.28,0.712,100,3
Oklahoma,CLABSI,2018,,General,78,269,378.27,0.711,32,6.25
Oregon,CLABSI,2018,,General,35,113,216.08,0.523,22,0
Pennsylvania,CLABSI,2018,,General,165,979,1331.47,0.735,113,5.31
Puerto Rico,CLABSI,2018,,General,13,97,55.47,1.749,10,30
Rhode Island,CLABSI,2018,,General,10,62,80.86,0.767,9,
South Carolina,CLABSI,2018,,General,60,305,377.96,0.807,29,10.34
South Dakota,CLABSI,2018,,General,16,39,56.78,0.687,4,
Tennessee,CLABSI,2018,,General,105,498,736.11,0.677,54,3.7
Texas,CLABSI,2018,,General,337,1672,2168.06,0.771,198,9.6
Utah,CLABSI,2018,,General,33,90,145.05,0.62,13,0
Vermont,CLABSI,2018,,General,6,19,25.22,0.753,2,
Virgin Islands,CLABSI,2018,,General,2,,,,,
Virginia,CLABSI,2018,,General,81,355,572.49,0.62,51,7.84
Washington,CLABSI,2018,,General,58,285,532.83,0.535,45,4.44
West Virginia,CLABSI,2018,,General,28,164,226.53,0.724,18,5.56
Wisconsin,CLABSI,2018,,General,71,247,409.31,0.603,45,0
Wyoming,CLABSI,2018,,General,11,1,11.55,0.087,2,
National,CLABSI,2018,,General,3586,19188,25955.01,0.739,2330,8
Alaska,CAUTI,2018,,General,10,49,30.15,1.625,6,
Alabama,CAUTI,2018,,General,89,407,584.11,0.697,44,2.27
Arkansas,CAUTI,2018,,General,50,232,275.67,0.842,28,3.57
Arizona,CAUTI,2018,,General,65,297,525.68,0.565,45,0
California,CAUTI,2018,,General,337,2493,2669.45,0.934,282,14.89
Colorado,CAUTI,2018,,General,52,262,379.55,0.69,32,9.38
Connecticut,CAUTI,2018,,General,31,242,260.47,0.929,24,12.5
District of Columbia,CAUTI,2018,,General,8,132,134.18,0.984,8,
Delaware,CAUTI,2018,,General,8,48,70.4,0.682,8,
Florida,CAUTI,2018,,General,209,1490,1992.96,0.748,182,9.34
Georgia,CAUTI,2018,,General,109,731,841.12,0.869,71,11.27
Guam,CAUTI,2018,,General,2,,,,,
Hawaii,CAUTI,2018,,General,17,89,95.08,0.936,13,7.69
Iowa,CAUTI,2018,,General,40,162,221.55,0.731,25,0
Idaho,CAUTI,2018,,General,17,91,93.34,0.975,10,20
Illinois,CAUTI,2018,,General,134,719,948.68,0.758,108,3.7
Indiana,CAUTI,2018,,General,88,440,571.45,0.77,59,10.17
Kansas,CAUTI,2018,,General,57,176,211.95,0.83,25,4
Kentucky,CAUTI,2018,,General,70,340,495.53,0.686,47,4.17
Louisiana,CAUTI,2018,,General,100,471,526.18,0.895,51,19.23
Massachusetts,CAUTI,2018,,General,68,616,619.88,0.994,53,11.32
Maryland,CAUTI,2018,,General,49,356,451.29,0.789,43,6.98
Maine,CAUTI,2018,,General,17,59,66.63,0.885,10,0
Michigan,CAUTI,2018,,General,98,610,874.09,0.698,68,5.88
Minnesota,CAUTI,2018,,General,53,269,359.48,0.748,27,3.7
Missouri,CAUTI,2018,,General,78,583,684.33,0.852,52,3.82
Mississippi,CAUTI,2018,,General,58,202,326.26,0.619,30,0
Montana,CAUTI,2018,,General,14,39,43.46,0.897,9,
North Carolina,CAUTI,2018,,General,96,785,849.26,0.924,71,11.27
North Dakota,CAUTI,2018,,General,9,50,70.05,0.714,7,
Nebraska,CAUTI,2018,,General,25,114,130.95,0.871,16,6.25
New Hampshire,CAUTI,2018,,General,13,88,92.2,0.954,13,7.69
New Jersey,CAUTI,2018,,General,71,561,638.44,0.879,69,15.94
New Mexico,CAUTI,2018,,General,30,141,142.66,0.988,16,12.5
Nevada,CAUTI,2018,,General,27,248,272.73,0.909,20,10
New York,CAUTI,2018,,General,171,1600,1810.96,0.884,143,11.19
Ohio,CAUTI,2018,,General,144,883,1338.07,0.66,104,3.85
Oklahoma,CAUTI,2018,,General,80,275,389.77,0.706,35,2.86
Oregon,CAUTI,2018,,General,35,213,234.78,0.907,25,16
Pennsylvania,CAUTI,2018,,General,181,1170,1427.03,0.82,121,9.09
Puerto Rico,CAUTI,2018,,General,13,77,93.19,0.826,11,18.18
Rhode Island,CAUTI,2018,,General,10,81,81.85,0.99,7,
South Carolina,CAUTI,2018,,General,61,370,438.42,0.844,39,10.26
South Dakota,CAUTI,2018,,General,21,39,63.14,0.618,6,
Tennessee,CAUTI,2018,,General,105,550,754.6,0.729,67,7.46
Texas,CAUTI,2018,,General,353,1522,2077.41,0.733,210,5.71
Utah,CAUTI,2018,,General,33,114,133.44,0.854,17,5.88
Virginia,CAUTI,2018,,General,81,504,607.45,0.83,59,10.17
Virgin Islands,CAUTI,2018,,General,2,,,,,
Vermont,CAUTI,2018,,General,6,42,40.47,1.038,4,
Washington,CAUTI,2018,,General,60,478,488.11,0.979,43,13.95
Wisconsin,CAUTI,2018,,General,72,305,380.55,0.801,48,6.25
West Virginia,CAUTI,2018,,General,28,167,277.7,0.601,21,0
Wyoming,CAUTI,2018,,General,13,11,23.62,0.466,3,
National,CAUTI,2018,,General,3668,22015,27216.7,0.809,2538,9
National,CLABSI,2018,,REHAB,714,147,177.361,0.829,21,0
National,CAUTI,2018,,REHAB,1156,1224,1045.74,1.17,336,4
National,CLABSI,2018,,LTAC,448,2209,2554.074,0.865,421,14.49
National,CAUTI,2018,,LTAC,448,2359,2689.197,0.877,430,14
Alaska,CLABSI,2018,,LTAC,1,,,,,
Alabama,CLABSI,2018,,LTAC,8,17,30.258,0.562,8,
Arkansas,CLABSI,2018,,LTAC,8,19,19.627,0.968,6,
Arizona,CLABSI,2018,,LTAC,6,9,25.633,0.351,6,
California,CLABSI,2018,,LTAC,23,286,293.602,0.974,22,18.18
Colorado,CLABSI,2018,,LTAC,7,15,30.191,0.497,6,
Connecticut,CLABSI,2018,,LTAC,3,,,,,
District of Columbia,CLABSI,2018,,LTAC,2,,,,,
Delaware,CLABSI,2018,,LTAC,1,,,,,
Florida,CLABSI,2018,,LTAC,28,115,192.616,0.597,28,7.142857143
Georgia,CLABSI,2018,,LTAC,14,66,77.976,0.846,14,7.142857143
Guam,CLABSI,2018,,LTAC,1,,,,,
Hawaii,CLABSI,2018,,LTAC,1,,,,,
Iowa,CLABSI,2018,,LTAC,2,,,,,
Idaho,CLABSI,2018,,LTAC,2,,,,,
Illinois,CLABSI,2018,,LTAC,10,132,97.775,1.35,10,30
Indiana,CLABSI,2018,,LTAC,12,61,66.25,0.921,12,8.333333333
Kansas,CLABSI,2018,,LTAC,3,,,,,
Kentucky,CLABSI,2018,,LTAC,9,63,45.307,1.391,9,
Louisiana,CLABSI,2018,,LTAC,34,87,108.954,0.799,26,19.23076923
Massachusetts,CLABSI,2018,,LTAC,12,49,79.8,0.614,10,
Maryland,CLABSI,2018,,LTAC,2,,,,,
Maine,CLABSI,2018,,LTAC,1,,,,,
Michigan,CLABSI,2018,,LTAC,20,100,66.941,1.494,19,31.57894737
Minnesota,CLABSI,2018,,LTAC,2,,,,,
Missouri,CLABSI,2018,,LTAC,11,31,41.661,0.744,10,
Mississippi,CLABSI,2018,,LTAC,8,34,38.422,0.885,8,
Montana,CLABSI,2018,,LTAC,1,,,,,
North Carolina,CLABSI,2018,,LTAC,9,37,60.526,0.611,9,
North Dakota,CLABSI,2018,,LTAC,2,,,,,
Nebraska,CLABSI,2018,,LTAC,4,,,,,
New Hampshire,CLABSI,2018,,LTAC,1,,,,,
New Jersey,CLABSI,2018,,LTAC,12,97,57.296,1.693,11,18.18181818
New Mexico,CLABSI,2018,,LTAC,3,,,,,
Nevada,CLABSI,2018,,LTAC,10,36,68.934,0.522,10,10
New York,CLABSI,2018,,LTAC,1,,,,,
Ohio,CLABSI,2018,,LTAC,31,117,151.966,0.77,28,3.571428571
Oklahoma,CLABSI,2018,,LTAC,12,49,54.821,0.894,10,30
Oregon,CLABSI,2018,,LTAC,1,,,,,
Pennsylvania,CLABSI,2018,,LTAC,22,75,74.484,1.007,22,18.18181818
Puerto Rico,CLABSI,2018,,LTAC,1,,,,,
Rhode Island,CLABSI,2018,,LTAC,1,,,,,
South Carolina,CLABSI,2018,,LTAC,6,32,40.051,0.799,6,
South Dakota,CLABSI,2018,,LTAC,1,,,,,
Tennessee,CLABSI,2018,,LTAC,9,45,43.585,1.032,9,
Texas,CLABSI,2018,,LTAC,72,418,479.543,0.872,70,25.71
Utah,CLABSI,2018,,LTAC,4,,,,,
Virginia,CLABSI,2018,,LTAC,6,33,32.779,1.007,6,
Virgin Islands,CLABSI,2018,,LTAC,1,,,,,
Vermont,CLABSI,2018,,LTAC,1,,,,,
Washington,CLABSI,2018,,LTAC,3,,,,,
Wisconsin,CLABSI,2018,,LTAC,6,24,30.373,0.79,6,
West Virginia,CLABSI,2018,,LTAC,4,,,,,
Wyoming,CLABSI,2018,,LTAC,1,,,,,
Alaska,CAUTI,2018,,LTAC,1,,,,,
Alabama,CAUTI,2018,,LTAC,8,33,31.874,1.035,8,
Arkansas,CAUTI,2018,,LTAC,8,35,31.82,1.1,7,
Arizona,CAUTI,2018,,LTAC,6,21,33.902,0.619,6,
California,CAUTI,2018,,LTAC,23,280,339.874,0.824,22,22.73
Colorado,CAUTI,2018,,LTAC,7,74,50.871,1.455,7,
Connecticut,CAUTI,2018,,LTAC,3,,,,,
District of Columbia,CAUTI,2018,,LTAC,2,,,,,
Delaware,CAUTI,2018,,LTAC,1,,,,,
Florida,CAUTI,2018,,LTAC,28,153,232.056,0.659,28,3.571428571
Georgia,CAUTI,2018,,LTAC,14,123,106.709,1.153,14,21.43
Guam,CAUTI,2018,,LTAC,,,,,,
Hawaii,CAUTI,2018,,LTAC,,,,,,
Iowa,CAUTI,2018,,LTAC,2,,,,,
Idaho,CAUTI,2018,,LTAC,2,,,,,
Illinois,CAUTI,2018,,LTAC,10,103,106.144,0.97,10,20
Indiana,CAUTI,2018,,LTAC,12,63,62.804,1.003,12,16.66666667
Kansas,CAUTI,2018,,LTAC,3,,,,,
Kentucky,CAUTI,2018,,LTAC,9,50,46.886,1.066,9,
Louisiana,CAUTI,2018,,LTAC,34,76,119.156,0.638,28,10.71428571
Massachusetts,CAUTI,2018,,LTAC,12,60,77.968,0.77,11,9.090909091
Maryland,CAUTI,2018,,LTAC,2,,,,,
Maine,CAUTI,2018,,LTAC,,,,,,
Michigan,CAUTI,2018,,LTAC,20,99,74.051,1.337,20,25
Minnesota,CAUTI,2018,,LTAC,2,,,,,
Missouri,CAUTI,2018,,LTAC,11,25,47.966,0.521,11,9.09
Mississippi,CAUTI,2018,,LTAC,8,26,44.306,0.587,8,
Montana,CAUTI,2018,,LTAC,1,,,,,
North Carolina,CAUTI,2018,,LTAC,9,34,55.519,0.612,9,
North Dakota,CAUTI,2018,,LTAC,2,,,,,
Nebraska,CAUTI,2018,,LTAC,4,,,,,
New Hampshire,CAUTI,2018,,LTAC,,,,,,
New Jersey,CAUTI,2018,,LTAC,12,59,66.565,0.886,11,27.27272727
New Mexico,CAUTI,2018,,LTAC,3,,,,,
Nevada,CAUTI,2018,,LTAC,10,41,63.357,0.647,10,10
New York,CAUTI,2018,,LTAC,1,,,,,
Ohio,CAUTI,2018,,LTAC,31,149,141.072,1.056,29,17.24137931
Oklahoma,CAUTI,2018,,LTAC,12,38,61.578,0.617,11,27.27272727
Oregon,CAUTI,2018,,LTAC,1,,,,,
Pennsylvania,CAUTI,2018,,LTAC,22,84,64.78,1.297,22,22.73
Puerto Rico,CAUTI,2018,,LTAC,,,,,,
Rhode Island,CAUTI,2018,,LTAC,1,,,,,
South Carolina,CAUTI,2018,,LTAC,6,42,35.25,1.191,6,
South Dakota,CAUTI,2018,,LTAC,1,,,,,
Tennessee,CAUTI,2018,,LTAC,9,31,42.659,0.727,9,
Texas,CAUTI,2018,,LTAC,72,304,429.007,0.709,69,8.695652174
Utah,CAUTI,2018,,LTAC,4,,,,,
Virginia,CAUTI,2018,,LTAC,6,26,44.356,0.586,6,
Virgin Islands,CAUTI,2018,,LTAC,,,,,,
Vermont,CAUTI,2018,,LTAC,,,,,,
Washington,CAUTI,2018,,LTAC,3,,,,,
Wisconsin,CAUTI,2018,,LTAC,6,36,30.202,1.192,6,
West Virginia,CAUTI,2018,,LTAC,4,,,,,
Wyoming,CAUTI,2018,,LTAC,,,,,,
Alaska,CAUTI,2018,,REHAB,2,,,,,
Alabama,CAUTI,2018,,REHAB,18,14,21.16,0.662,8,
Arkansas,CAUTI,2018,,REHAB,24,17,18.521,0.918,7,
Arizona,CAUTI,2018,,REHAB,26,25,24.79,1.008,14,0
California,CAUTI,2018,,REHAB,74,51,66.298,0.769,20,0
Colorado,CAUTI,2018,,REHAB,21,21,12.813,1.639,4,
Connecticut,CAUTI,2018,,REHAB,7,8,4.339,1.844,1,
District of Columbia,CAUTI,2018,,REHAB,2,,,,,
Delaware,CAUTI,2018,,REHAB,3,,,,,
Florida,CAUTI,2018,,REHAB,52,69,74.775,0.923,31,6.45
Georgia,CAUTI,2018,,REHAB,29,20,23.264,0.86,7,
Guam,CAUTI,2018,,REHAB,,,,,,
Hawaii,CAUTI,2018,,REHAB,1,,,,,
Iowa,CAUTI,2018,,REHAB,16,15,8.621,1.74,2,
Idaho,CAUTI,2018,,REHAB,6,4,5.18,0.772,2,
Illinois,CAUTI,2018,,REHAB,44,64,44.323,1.444,14,0
Indiana,CAUTI,2018,,REHAB,38,26,29.963,0.868,11,9.09
Kansas,CAUTI,2018,,REHAB,20,20,12.233,1.635,3,
Kentucky,CAUTI,2018,,REHAB,16,14,15.154,0.924,5,
Louisiana,CAUTI,2018,,REHAB,49,32,28.041,1.141,4,
Massachusetts,CAUTI,2018,,REHAB,10,36,20.054,1.795,6,
Maryland,CAUTI,2018,,REHAB,3,,,,,
Maine,CAUTI,2018,,REHAB,5,3,4.166,0.72,2,
Michigan,CAUTI,2018,,REHAB,38,41,32.634,1.256,9,
Minnesota,CAUTI,2018,,REHAB,12,18,11.435,1.574,3,
Missouri,CAUTI,2018,,REHAB,31,29,27.28,1.063,5,
Mississippi,CAUTI,2018,,REHAB,11,11,7.304,1.506,4,
Montana,CAUTI,2018,,REHAB,5,2,1.736,1.152,0,
North Carolina,CAUTI,2018,,REHAB,27,30,18.859,1.591,7,
North Dakota,CAUTI,2018,,REHAB,3,,,,,
Nebraska,CAUTI,2018,,REHAB,10,13,11.091,1.172,3,
New Hampshire,CAUTI,2018,,REHAB,8,8,4.958,1.614,2,
New Jersey,CAUTI,2018,,REHAB,19,51,34.927,1.46,12,16.67
New Mexico,CAUTI,2018,,REHAB,8,5,6.577,0.76,3,
Nevada,CAUTI,2018,,REHAB,13,10,14.366,0.696,5,
